"PWSID","PWSNAME","PRINCIPAL_COUNTY_SERVED","POPULATION SERVED COUNT","ACZip","ACAdd1","ACAdd2","ACCity","ACState","FacNAME","GeocodeRequest/Query","lat","lng"
"IL1175250","STAUNTON RESERVOIR ROAD WATER COOP","MACOUPIN",63,62088,"3436 BONO ROAD",,"STAUNTON","IL","STAUNTON RESERVOIR ROAD WATER COOP","3436 BONO ROAD, STAUNTON, IL, 62088",39.04850769,-89.78406525
"IL1190120","LAKESHORE ESTATES MHP","MADISON",387,,,,,,,,,
"IL1230200","SPARLAND","MARSHALL",550,61548,"730 N WIEDMAN",,"METAMORA","IL","SPARLAND","730 N WIEDMAN, METAMORA, IL, 61548",40.79782486,-89.3598938
"IL1290010","MENARD RURAL WATER COOP","MENARD",653,62675,"PO BOX 200",,"PETERSBURG","IL","MENARD RURAL WATER COOP","PETERSBURG, IL, 62675",40.03666306,-89.85414886
"IL1290150","OAKFORD","MENARD",309,62673,"VILLAGE OF OAKFORD","PO BOX 19","OAKFORD","IL","OAKFORD","OAKFORD, IL, 62673",40.09676743,-89.97216797
"IL1310100","JOY","MERCER",373,61260,"P.O. Box 265",,"JOY","IL","JOY","JOY, IL, 61260",41.24537659,-90.88237762
"IL1390150","DALTON CITY","MOULTRIE",500,61925,"PO Box 56",,"DALTON CITY","IL","DALTON CITY","DALTON CITY, IL, 61925",39.71191406,-88.82040405
"IL1410250","HILLCREST","OGLE",1400,61068,"204 HILLCREST AVENUE","P.O. BOX 6","ROCHELLE","IL","HILLCREST","204 HILLCREST AVENUE, P.O. BOX 6, ROCHELLE, IL, 61068",41.95047379,-89.06745148
"IL1430070","DELUXE LAKE ESTATES MHP","PEORIA",325,61611,"142 KEIL AVENUE",,"EAST PEORIA","IL","DELUXE LAKE ESTATES MHP","142 KEIL AVENUE, EAST PEORIA, IL, 61611",40.66208649,-89.58296967
"IL1430450","KINGSTON MINES","PEORIA",259,61533,"PO BOX 140","305 S. OAK ST","GLASFORD","IL","KINGSTON MINES","305 S. OAK ST, GLASFORD, IL, 61533",40.571033,-89.811698
"IL1470050","BEMENT","PIATT",1800,61813,"VILLAGE OF BEMENT","148 BODMAN STREET","BEMENT","IL","BEMENT","148 BODMAN STREET, BEMENT, IL, 61813",39.92236242,-88.57139848
"IL1475100","LAPLACE",,,,,,,,,,,
"IL1555050","LAKE THUNDERBIRD SUBDIVSION","PUTNAM",450,61560,"2 LAKE THUNDERBIRD DRIVE",,"PUTNAM","IL","LAKE THUNDERBIRD SUBDIVSION","2 LAKE THUNDERBIRD DRIVE, PUTNAM, IL, 61560",41.21310577,-89.44584623
"IL1570250","EVANSVILLE","RANDOLPH",700,62242,"P.O. BOX 257",,"EVANSVILLE","IL","EVANSVILLE","EVANSVILLE, IL, 62242",38.09593964,-89.9307251
"IL1570450","RED BUD","RANDOLPH",3442,62278,"525 POWER ST",,"RED BUD","IL","RED BUD","525 POWER ST, RED BUD, IL, 62278",38.21647815,-89.99896199
"IL1590050","CALHOUN","RICHLAND",182,62419,"VILLAGE HALL","PO BOX 88","CALHOUN","IL","CALHOUN","CALHOUN, IL, 62419",38.62842941,-87.97853088
"IL1610160","CLOVER LEAF VILLAGE MHP","ROCK ISLAND",950,61265,"4515 34th STREET",,"MOLINE","IL","CLOVER LEAF VILLAGE MHP","4515 34th STREET, MOLINE, IL, 61265",41.46804973,-90.49092405
"IL1614260","COAL VALLEY","ROCK ISLAND",3606,61240,"900 1ST ST",,"COAL VALLEY","IL","COAL VALLEY","900 1ST ST, COAL VALLEY, IL, 61240",41.4424172,-90.46110928
"IL1614800","REYNOLDS","ROCK ISLAND",600,,,,,,,,,
"IL1615120","CHERRY DALE SUBDIVISION","ROCK ISLAND",80,61264,"3117 143rd AVENUE COURT WEST",,"MILAN","IL","CHERRY DALE SUBDIVISION","3117 143rd AVENUE COURT WEST, MILAN, IL, 61264",41.37767792,-90.61153412
"IL1615130","WATER WERKS","ROCK ISLAND",40,61240,"8415 51ST CT",,"COAL VALLEY","IL","WATER WERKS","8415 51ST CT, COAL VALLEY, IL, 61240",41.43058395,-90.52209473
"IL1615140","CHIGAKWA PARK ESTATES","ROCK ISLAND",42,61259,"11407 177th STREET COURT WEST",,"ILLINOIS CITY","IL","CHIGAKWA PARK ESTATES","11407 177th STREET COURT WEST, ILLINOIS CITY, IL, 61259",41.40881348,-90.81241608
"IL1615387","ROCK ISLAND ARSENAL","ROCK ISLAND",7800,,,,,,,,,
"IL1615530","HILLSDALE MHP","ROCK ISLAND",63,61256,"JUAREZ ENTERPRISES, INC","200 SECOND STREET","HAMPTON","IL","BEVERLY HILLSDALE ESTATES, LLC","200 SECOND STREET, HAMPTON, IL, 61256",41.51139826,-90.42517908
"IL1615750","SILVIS HEIGHTS WATER CORP","ROCK ISLAND",1600,61282,"504 8TH AVE",,"SILVIS","IL","SILVIS HEIGHTS WATER CORP","504 8TH AVE, SILVIS, IL, 61282",41.50170517,-90.42192078
"IL1617635","FALCON FARMS","ROCK ISLAND",475,,,,,,,,,
"IL1617785","OAK GROVE MHP - ROCK ISLAND COUNTY","ROCK ISLAND",100,61264,"10620 1ST ST WEST","LOT 53","MILAN","IL","OAK GROVE MHP - ROCK ISLAND COUNTY","10620 1ST ST WEST, LOT 53, MILAN, IL, 61264",41.41316223,-90.57033539
"IL1630750","MARISSA","ST CLAIR",2068,62257,"212 N MAIN",,"MARISSA","IL","MARISSA","212 N MAIN, MARISSA, IL, 62257",38.24661613,-89.7540649
"IL1630800","MASCOUTAH","ST CLAIR",9002,62258,"3 WEST MAIN STREET",,"MASCOUTAH","IL","MASCOUTAH","3 WEST MAIN STREET, MASCOUTAH, IL, 62258",38.490165,-89.803276
"IL1631350","SUMMERFIELD","ST CLAIR",471,62289,"VILLAGE OF SUMMERFIELD","PO BOX 137","SUMMERFIELD","IL","SUMMERFIELD","SUMMERFIELD, IL, 62289",38.60383987,-89.80618286
"IL1635050","MOUND PWD","ST CLAIR",2200,62234,"#1 PAUL ST",,"COLLINSVILLE","IL","MOUND PWD","1 PAUL ST, COLLINSVILLE, IL, 62234",38.65261841,-90.04689026
"IL1650250","MUDDY","SALINE",175,62965,"VILLAGE OF MUDDY","P.O. BOX 8","MUDDY","IL","MUDDY","MUDDY, IL, 62965",37.73709488,-88.54217529
"IL1730300","SHELBYVILLE","SHELBY",6681,62565,"110 S. MORGAN ST.",,"SHELBYVILLE","IL","SHELBYVILLE","110 S. MORGAN ST., SHELBYVILLE, IL, 62565",39.40646768,-88.79215635
"IL1770150","DAVIS","STEPHENSON",700,61019,"VILLAGE HALL","PO BOX 366","DAVIS","IL","DAVIS","DAVIS, IL, 61019",42.44356918,-89.41616821
"IL1770550","WINSLOW","STEPHENSON",361,61060,"COMMUNITY BANK","401 SOUTH CHURCH STREET","ORANGEVILLE","IL","WINSLOW","401 SOUTH CHURCH STREET, ORANGEVILLE, IL, 61060",42.46368027,-89.64338684
"IL1794320","DEER CREEK","TAZEWELL",704,61733,"101 WEST FIRST AVE","PO BOX 38","DEER CREEK","IL","DEER CREEK","101 WEST FIRST AVE, PO BOX 38, DEER CREEK, IL, 61733",40.62739563,-89.33287048
"IL1830500","AQUA ILLINOIS-INDIANOLA","VERMILION",224,61834,"AQUA ILLINOIS","322 N GILBERT ST PO BOX 1130","DANVILLE","IL","AQUA ILLINOIS-INDIANOLA","322 N GILBERT ST PO BOX 1130, DANVILLE, IL, 61834",40.13026047,-87.63803101
"IL1850150","KEENSBURG","WABASH",272,62852,"VILLAGE HALL","PO BOX 150","KEENSBURG","IL","KEENSBURG","KEENSBURG, IL, 62852",38.34999466,-87.87085724
"IL1870050","KIRKWOOD","WARREN",794,61447,"VILLAGE OF KIRKWOOD","PO BOX 399","KIRKWOOD","IL","KIRKWOOD","KIRKWOOD, IL, 61447",40.85821533,-90.73485565
"IL1890150","DUBOIS","WASHINGTON",229,62831,"PO BOX 116",,"DUBOIS","IL","DUBOIS","DUBOIS, IL, 62831",38.23949814,-89.2178421
"IL1890250","IRVINGTON","WASHINGTON",1245,62848,"VILLAGE OF IRVINGTON","PO BOX 515","IRVINGTON","IL","IRVINGTON","IRVINGTON, IL, 62848",38.43842316,-89.16394806
"IL1970140","SOUTH RIDGE MHC","WILL",77,60434,"PO BOX 2547",,"JOLIET","IL","SOUTH RIDGE MHC","JOLIET, IL, 60434",41.51506042,-88.134552
"IL1970400","FRANKFORT","WILL",24648,60423,"432 WEST NEBRASKA STREET",,"FRANKFORT","IL","FRANKFORT","432 WEST NEBRASKA STREET, FRANKFORT, IL, 60423",41.49748094,-87.86066338
"IL1990200","COLP","WILLIAMSON",576,62921,"VILLAGE OF COLP","P.O. BOX 266","COLP","IL","COLP","COLP, IL, 62921",37.80228043,-89.02759552
"IL2015050","BRADLEY HEIGHTS SUBDIVISION","WINNEBAGO",192,61107,"2508 WESTBROOK DR",,"ROCKFORD","IL","BRADLEY HEIGHTS SUBDIVISION","2508 WESTBROOK DR, ROCKFORD, IL, 61107",42.29455185,-89.04413605
"IL2015300","LEGEND LAKES WATER ASSOCIATION","WINNEBAGO",283,61073,"12894 MENOMINEE TRAIL",,"ROSCOE","IL","LEGEND LAKES WATER ASSOCIATION","12894 MENOMINEE TRAIL, ROSCOE, IL, 61073",42.44911957,-88.95113373
"IL2030550","ROANOKE","WOODFORD",1994,61561,"VILLAGE OF ROANOKE","101 NORTH MAIN ST","ROANOKE","IL","ROANOKE","101 NORTH MAIN ST, ROANOKE, IL, 61561",40.79394531,-89.19753265
